source_filename,title,figure_id,figure_caption,citation,doi,html_path,json_path
1-s2.0-S1434841125002110-main.pdf,TimeBoost: Accelerating timing analysis engines using XGBoost,Figure 1,Fig. 1. A gate-level stage with multiple fanout receivers.,Anastasis Vagenas (2025). TimeBoost: Accelerating timing analysis engines using XGBoost. AEUE - International Journal of Electronics and Communications. https://doi.org/10.1016/j.aeue.2025.155870,10.1016/j.aeue.2025.155870,html/1-s2.0-S1434841125002110-main.html,metadata/meatdatagenerated/json/1-s2.0-S1434841125002110-main.json
1-s2.0-S1434841125002110-main.pdf,TimeBoost: Accelerating timing analysis engines using XGBoost,Figure 2,"Fig. 1 illustrates a gate-level stage composed of a driver gate, a distributed RC interconnect, and multiple receiver gates. Each node i of the RC-tree interconnect has a capacitance to ground Ci, a downstream capacitance Ctoti (i.e., the sum of all the capacitances of the subtree starting at node i), a slew value Si, and is connected to each fanout node j via a resistance Ri→j. The sum of all interconnect Ri→j values is denoted as Rtotal.",Anastasis Vagenas (2025). TimeBoost: Accelerating timing analysis engines using XGBoost. AEUE - International Journal of Electronics and Communications. https://doi.org/10.1016/j.aeue.2025.155870,10.1016/j.aeue.2025.155870,html/1-s2.0-S1434841125002110-main.html,metadata/meatdatagenerated/json/1-s2.0-S1434841125002110-main.json
1-s2.0-S1434841125002110-main.pdf,TimeBoost: Accelerating timing analysis engines using XGBoost,Figure 3,Fig. 2. NLDM and CCS driver and receiver models.,Anastasis Vagenas (2025). TimeBoost: Accelerating timing analysis engines using XGBoost. AEUE - International Journal of Electronics and Communications. https://doi.org/10.1016/j.aeue.2025.155870,10.1016/j.aeue.2025.155870,html/1-s2.0-S1434841125002110-main.html,metadata/meatdatagenerated/json/1-s2.0-S1434841125002110-main.json
1-s2.0-S1434841125002110-main.pdf,TimeBoost: Accelerating timing analysis engines using XGBoost,Figure 4,Fig. 3. Proposed ML-driven methodology for optimal stage timing estimation.,Anastasis Vagenas (2025). TimeBoost: Accelerating timing analysis engines using XGBoost. AEUE - International Journal of Electronics and Communications. https://doi.org/10.1016/j.aeue.2025.155870,10.1016/j.aeue.2025.155870,html/1-s2.0-S1434841125002110-main.html,metadata/meatdatagenerated/json/1-s2.0-S1434841125002110-main.json
1-s2.0-S1434841125002110-main.pdf,TimeBoost: Accelerating timing analysis engines using XGBoost,Figure 5,"Fig. 4. Accuracy (F1 score), inference and training times, and memory requirements of all the evaluated ML models.",Anastasis Vagenas (2025). TimeBoost: Accelerating timing analysis engines using XGBoost. AEUE - International Journal of Electronics and Communications. https://doi.org/10.1016/j.aeue.2025.155870,10.1016/j.aeue.2025.155870,html/1-s2.0-S1434841125002110-main.html,metadata/meatdatagenerated/json/1-s2.0-S1434841125002110-main.json
1-s2.0-S1434841125002110-main.pdf,TimeBoost: Accelerating timing analysis engines using XGBoost,Figure 6,Fig. 5. Feature gain and confusion matrices of XGB models under different thresholds E.,Anastasis Vagenas (2025). TimeBoost: Accelerating timing analysis engines using XGBoost. AEUE - International Journal of Electronics and Communications. https://doi.org/10.1016/j.aeue.2025.155870,10.1016/j.aeue.2025.155870,html/1-s2.0-S1434841125002110-main.html,metadata/meatdatagenerated/json/1-s2.0-S1434841125002110-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 1,Fig. 1 shows the framework of the proposed method for predicting circuit timing using complex network features. It consists of two main stages: dataset construction at the top and model construction at the bottom of the figure.,Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 2,Fig. 1. Framework of the proposed timing prediction method.,Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 3,Fig. 2. Complex network modeling.,Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 4,Fig. 3 illustrates the construction of a dataset for the timing prediction model. This process includes acquisition of the circuit and complex network features during the placement phase and timing labels during post-routing.,Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 5,Fig. 2 illustrates the process of the complex network modeling. The circuit is first placed by the placer to retrieve the placement. By applying,Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 6,Fig. 3. Dataset construction.,Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
1-s2.0-S1568494625014139-main.pdf,Complex network based machine learning method for predicting circuit timing,Figure 7,"Fig. 4 shows the prediction performance comparison of slack and delay using the metric R 2 . As can be seen, the predicted performance of the augmented model is much better than that of the basic model, which indicates the advantage of applying complex network features. Furthermore, delay prediction is better for both models than slack prediction, suggesting that the proposed method and features are more effective for delay prediction.",Tingyuan Nie (2026). Complex network based machine learning method for predicting circuit timing. Applied Soft Computing. https://doi.org/10.1016/j.asoc.2025.114100,10.1016/j.asoc.2025.114100,html/1-s2.0-S1568494625014139-main.html,metadata/meatdatagenerated/json/1-s2.0-S1568494625014139-main.json
